group_id,group_name,assoc_techniques
 G1003 , Ember Bear ,"['T1583', 'T1583.003', 'T1595.001', 'T1583.002', 'T1071.004', 'T1560', 'T1119', 'T1110', 'T1110.003', 'T1059.001', 'T1005', 'T1491.002', 'T1561.002', 'T1114', 'T1585', 'T1567.002', 'T1190', 'T1203', 'T1210', 'T1133', 'T1562.001', 'T1070.004', 'T1570', 'T1654', 'T1036', 'T1036.005', 'T1112', 'T1046', 'T1095', 'T1571', 'T1588.001', 'T1571.005', 'T1003', 'T1003.001', 'T1003.002', 'T1003.004', 'T1572', 'T1090.003', 'T1021', 'T1018', 'T1053.005', 'T1505.003', 'T1195', 'T1552.001', 'T1550.002', 'T1078.001', 'T1125', 'T1047']"
 G0020 , Equation ,"['T1480.001', 'T1564.005', 'T1120', 'T1542.002']"
 G0120 , Evilnum ,"['T1548.002', 'T1059.007', 'T1555', 'T1574.001', 'T1070.004', 'T1105', 'T1566.002', 'T1219', 'T1539', 'T1204.001', 'T1497.001']"
 G1011 , EXOTIC LILY ,"['T1583.001', 'T1585.001', 'T1539.002', 'T1203', 'T1589.002', 'T1566.001', 'T1203.002', 'T1203.003', 'T1597', 'T1593.001', 'T1594', 'T1608.001', 'T1204.001', 'T1594.002', 'T1102']"
 G0137 , Ferocious Kitten ,"['T1583.001', 'T1036.002', 'T1102.005', 'T1588.002', 'T1566.001', 'T1204.002']"
 G0051 , FIN10 ,"['T1547.001', 'T1059.001', 'T1102.003', 'T1070.004', 'T1570', 'T1588.002', 'T1021.001', 'T1053.005', 'T1033', 'T1078', 'T1078.003']"
 G1016 , FIN13 ,"['T1134.003', 'T1087', 'T1087.002', 'T1098.007', 'T1071.001', 'T1560.001', 'T1547.001', 'T1059.001', 'T1087.003', 'T1087.005', 'T1136.001', 'T1005', 'T1565', 'T1074.001', 'T1140', 'T1587.001', 'T1190', 'T1133', 'T1083', 'T1657', 'T1589', 'T1590.004', 'T1564.001', 'T1574.002', 'T1105', 'T1056.001', 'T1036', 'T1036.004', 'T1036.005', 'T1556', 'T1046', 'T1135', 'T1588.002', 'T1003.001', 'T1135.002', 'T1135.003', 'T1069', 'T1572', 'T1090.001', 'T1021.001', 'T1572.002', 'T1572.004', 'T1572.006', 'T1053.005', 'T1505.003', 'T1082', 'T1016', 'T1016.001', 'T1049', 'T1552.001', 'T1550.002', 'T1078.001', 'T1047']"
 G0085 , FIN4 ,"['T1071.001', 'T1059.005', 'T1114.002', 'T1564.008', 'T1056.001', 'T1047.002', 'T1566.001', 'T1047.002', 'T1090.003', 'T1204.001', 'T1047.002', 'T1078']"
 G0053 , FIN5 ,"['T1119', 'T1110', 'T1059', 'T1074.001', 'T1133', 'T1070.001', 'T1133.004', 'T1588.002', 'T1090.002', 'T1018', 'T1078']"
 G0037 , FIN6 ,"['T1134', 'T1087.002', 'T1560', 'T1560.003', 'T1119', 'T1547.001', 'T1110.002', 'T1059', 'T1059.001', 'T1059.003', 'T1059.007', 'T1555', 'T1555.003', 'T1213', 'T1005', 'T1074.002', 'T1573.002', 'T1048.003', 'T1068', 'T1562.001', 'T1070.004', 'T1036.004', 'T1046', 'T1095', 'T1027.010', 'T1588.002', 'T1003.001', 'T1095.003', 'T1566.001', 'T1095.003', 'T1572', 'T1021.001', 'T1018', 'T1053.005', 'T1553.002', 'T1569.002', 'T1204.002', 'T1078', 'T1102', 'T1047']"
 G0046 , FIN7 ,"['T1583.001', 'T1047.006', 'T1071.004', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1486', 'T1005', 'T1587.001', 'T1546.011', 'T1567.002', 'T1190', 'T1210', 'T1008', 'T1105', 'T1559.002', 'T1036.004', 'T1105.005', 'T1571', 'T1027.001', 'T1571.010', 'T1588.002', 'T1069.002', 'T1566.001', 'T1571.002', 'T1219', 'T1021.001', 'T1219.004', 'T1219.005', 'T1091', 'T1053.005', 'T1113', 'T1608.001', 'T1113.004', 'T1558.003', 'T1553.002', 'T1195.002', 'T1218.005', 'T1113.011', 'T1033', 'T1204.001', 'T1033.002', 'T1078', 'T1078.003', 'T1125', 'T1497.002', 'T1102.002', 'T1047']"
 G0061 , FIN8 ,"['T1134.001', 'T1071.001', 'T1560.001', 'T1059.001', 'T1047.003', 'T1486', 'T1074.002', 'T1482', 'T1573.002', 'T1546.003', 'T1048.003', 'T1068', 'T1070.001', 'T1068.004', 'T1105', 'T1112', 'T1027.010', 'T1588.002', 'T1112.003', 'T1003.001', 'T1566.001', 'T1112.002', 'T1055.004', 'T1021.001', 'T1112.002', 'T1018', 'T1053.005', 'T1518.001', 'T1082', 'T1016.001', 'T1033', 'T1204.001', 'T1033.002', 'T1078', 'T1102', 'T1047']"
 G0117 , Fox Kitten ,"['T1087.001', 'T1047.002', 'T1560.001', 'T1217', 'T1110', 'T1059', 'T1059.001', 'T1059.003', 'T1136.001', 'T1555.005', 'T1530', 'T1213.005', 'T1005', 'T1039', 'T1585', 'T1585.001', 'T1546.008', 'T1190', 'T1210', 'T1083', 'T1105', 'T1036.004', 'T1105.005', 'T1046', 'T1027.010', 'T1046.013', 'T1003.001', 'T1046.003', 'T1572', 'T1090', 'T1012', 'T1021.001', 'T1012.002', 'T1012.004', 'T1012.005', 'T1018', 'T1053.005', 'T1505.003', 'T1552.001', 'T1078', 'T1102']"
 G0093 , GALLIUM ,"['T1583.004', 'T1560.001', 'T1059.001', 'T1102.003', 'T1136.002', 'T1005', 'T1074.001', 'T1041', 'T1190', 'T1133', 'T1574.002', 'T1105', 'T1570', 'T1036.003', 'T1027', 'T1027.002', 'T1027.005', 'T1588.002', 'T1003.001', 'T1027.002', 'T1090.002', 'T1018', 'T1053.005', 'T1505.003', 'T1553.002', 'T1016', 'T1049', 'T1033', 'T1550.002', 'T1078', 'T1047']"
 G0084 , Gallmaker ,"['T1560.001', 'T1059.001', 'T1559.002', 'T1027', 'T1566.001', 'T1204.002']"
 G0047 , Gamaredon Group ,"['T1583.001', 'T1027.003', 'T1071.001', 'T1119', 'T1020', 'T1547.001', 'T1059.001', 'T1020.003', 'T1020.005', 'T1005', 'T1039', 'T1025', 'T1001', 'T1491.001', 'T1140', 'T1561.001', 'T1568', 'T1568.001', 'T1480', 'T1041', 'T1083', 'T1564.003', 'T1562.001', 'T1070.004', 'T1105', 'T1559.001', 'T1534', 'T1036.005', 'T1112', 'T1106', 'T1027', 'T1027.001', 'T1027.004', 'T1027.010', 'T1588.002', 'T1137', 'T1120', 'T1566.001', 'T1057', 'T1021.005', 'T1053.005', 'T1113', 'T1608.001', 'T1218.005', 'T1113.011', 'T1082', 'T1016.001', 'T1033', 'T1080', 'T1221', 'T1204.001', 'T1221.002', 'T1102', 'T1102.003', 'T1047']"
 G0036 , GCMAN ,"['T1021.004', 'T1047.005']"
 G0115 , GOLD SOUTHFIELD ,"['T1059.001', 'T1190', 'T1133', 'T1027.010', 'T1566', 'T1219', 'T1113', 'T1195.002', 'T1199']"
 G0078 , Gorgon Group ,"['T1547.001', 'T1199.009', 'T1059.001', 'T1199.003', 'T1199.005', 'T1140', 'T1564.003', 'T1562.001', 'T1105', 'T1112', 'T1106', 'T1588.002', 'T1566.001', 'T1055.002', 'T1106.012', 'T1204.002']"
